,education_attained,enrollment_status,age,sample_weight,employed
449,21,0,68.0,13.0,1
450,21,0,57.0,19.0,1
451,19,0,26.0,24.0,1
452,18,1,24.0,22.0,1
453,20,0,22.0,14.0,1
454,21,0,22.0,15.0,1
455,21,0,22.0,16.0,1
456,21,0,86.0,4.0,1
457,22,0,31.0,8.0,1
458,20,0,44.0,8.0,1
459,18,0,82.0,77.0,1
460,16,0,76.0,84.0,1
461,22,0,35.0,13.0,0
462,19,0,36.0,17.0,1
463,21,0,1.0,11.0,1
464,21,0,58.0,23.0,1
465,23,0,57.0,20.0,0
466,13,0,16.0,27.0,1
467,21,0,45.0,14.0,1
468,19,1,38.0,14.0,1
469,13,1,16.0,13.0,1
470,07,1,9.0,12.0,1
471,17,0,33.0,14.0,1
472,20,0,60.0,22.0,1
473,19,0,47.0,10.0,1
474,19,0,46.0,9.0,1
475,19,0,48.0,10.0,1
476,19,0,21.0,10.0,1
477,16,0,17.0,9.0,1
478,12,0,15.0,8.0,1
479,10,0,14.0,9.0,1
480,06,0,9.0,7.0,1
481,01,0,4.0,10.0,1
482,21,0,2.0,10.0,1
483,21,0,43.0,16.0,1
484,12,0,15.0,17.0,1
485,10,0,14.0,18.0,1
486,19,0,39.0,16.0,1
487,17,0,48.0,15.0,1
488,16,0,45.0,14.0,1
489,16,0,19.0,20.0,1
490,21,0,27.0,21.0,1
491,18,0,51.0,17.0,1
492,18,0,65.0,16.0,1
493,21,0,51.0,14.0,1
494,18,0,48.0,14.0,1
495,13,0,17.0,13.0,1
496,21,0,33.0,16.0,1
497,21,0,23.0,11.0,1
498,16,0,25.0,12.0,1
499,19,0,62.0,18.0,1
500,16,0,33.0,20.0,1
501,02,0,5.0,17.0,1
502,21,0,2.0,24.0,1
503,19,0,29.0,43.0,1
504,21,0,45.0,41.0,1
505,03,0,6.0,42.0,1
506,01,0,5.0,40.0,1
507,21,0,0.0,41.0,1
508,17,0,38.0,8.0,1
509,11,0,85.0,21.0,1
510,19,0,37.0,41.0,1
511,01,0,3.0,34.0,1
512,21,0,0.0,41.0,1
513,15,0,22.0,34.0,1
514,21,0,59.0,25.0,0
515,21,0,60.0,27.0,1
516,16,1,59.0,14.0,1
517,11,1,57.0,14.0,1
518,21,1,53.0,17.0,1
519,16,0,40.0,28.0,1
520,16,0,61.0,14.0,0
521,17,0,58.0,15.0,1
522,18,0,64.0,14.0,1
523,19,0,64.0,14.0,1
524,22,0,58.0,15.0,1
525,07,0,11.0,17.0,1
526,23,0,51.0,13.0,1
527,16,0,77.0,28.0,1
528,18,0,94.0,3.0,1
529,19,0,49.0,13.0,1
530,19,0,40.0,44.0,1
531,19,0,40.0,45.0,1
532,21,0,2.0,49.0,1
533,21,0,0.0,50.0,1
534,16,1,83.0,13.0,1
535,15,1,59.0,15.0,1
536,16,0,63.0,15.0,1
537,18,0,54.0,15.0,1
538,21,0,68.0,27.0,1
539,18,1,59.0,24.0,1
540,14,0,62.0,48.0,1
541,20,0,53.0,45.0,1
542,20,0,52.0,29.0,1
543,21,0,55.0,28.0,1
544,16,0,19.0,20.0,1
545,16,0,20.0,23.0,1
546,22,0,54.0,25.0,0
547,18,1,50.0,24.0,1
548,07,0,10.0,26.0,1
549,19,0,31.0,71.0,1
550,07,0,11.0,116.0,1
551,05,0,8.0,115.0,1
552,01,0,5.0,121.0,1
553,01,0,3.0,170.0,1
554,20,0,69.0,13.0,1
555,10,0,74.0,59.0,1
556,16,0,41.0,59.0,1
557,18,0,73.0,11.0,1
558,19,0,70.0,9.0,1
559,16,0,56.0,21.0,1
560,21,0,50.0,19.0,1
561,14,0,18.0,20.0,1
562,14,0,17.0,18.0,1
563,14,0,16.0,19.0,1
564,12,0,15.0,28.0,1
565,21,0,33.0,16.0,1
566,21,0,32.0,16.0,1
567,01,0,3.0,16.0,1
568,21,0,0.0,16.0,1
569,21,0,76.0,27.0,1
570,20,0,66.0,30.0,1
571,19,0,42.0,29.0,1
572,13,0,17.0,21.0,1
573,11,0,14.0,25.0,1
574,12,0,36.0,22.0,1
575,19,0,48.0,31.0,1
576,13,0,16.0,36.0,1
577,23,0,27.0,15.0,1
578,23,0,28.0,12.0,0
579,21,0,64.0,18.0,1
580,20,0,61.0,18.0,1
581,21,0,39.0,16.0,1
582,10,0,13.0,16.0,1
583,09,0,12.0,21.0,1
584,05,0,8.0,16.0,1
585,20,1,87.0,17.0,1
586,21,0,69.0,13.0,1
587,19,0,61.0,22.0,1
588,20,0,66.0,20.0,1
589,16,0,94.0,1.0,1
590,20,0,34.0,12.0,1
591,21,0,34.0,12.0,1
592,24,0,34.0,43.0,1
593,16,0,70.0,12.0,1
594,16,0,58.0,30.0,0
595,16,0,28.0,31.0,1
596,16,0,55.0,21.0,1
597,18,0,39.0,19.0,1
598,11,0,94.0,27.0,1
599,22,0,85.0,2.0,1
600,21,0,53.0,19.0,1
601,19,0,23.0,23.0,1
